,Age,Income,Location,Sex,Year,count,cumulative_percent,percentage
236,All age groups,$125-<150k,"Halifax, Nova Scotia",Females,2016.0,2630.0,0.9872889276590442,0.016387313851330302
237,All age groups,$150-<175k,"Halifax, Nova Scotia",Females,2016.0,595.0,0.9909963237584897,0.0037073960994454484
238,All age groups,$175-<200k,"Halifax, Nova Scotia",Females,2016.0,595.0,0.9947037198579352,0.0037073960994454484
239,All age groups,$200-225k,"Halifax, Nova Scotia",Females,2016.0,200.0,0.9959499034207739,0.0012461835628388063
240,All age groups,225-250k,"Halifax, Nova Scotia",Females,2016.0,200.0,0.9971960869836127,0.0012461835628388063
241,All age groups,>250k,"Halifax, Nova Scotia",Females,2016.0,450.0,1.0,0.0028039130163873137
242,0 to 24 years,$0-<25k,"Halifax, Nova Scotia",Females,2016.0,14490.0,,
243,0 to 24 years,$25-<50k,"Halifax, Nova Scotia",Females,2016.0,2730.0,,
244,0 to 24 years,$50-<75k,"Halifax, Nova Scotia",Females,2016.0,360.0,,
245,0 to 24 years,$75-<100k,"Halifax, Nova Scotia",Females,2016.0,80.0,,
246,0 to 24 years,$100-<125k,"Halifax, Nova Scotia",Females,2016.0,,,
247,0 to 24 years,$125-<150k,"Halifax, Nova Scotia",Females,2016.0,,,
248,0 to 24 years,$150-<175k,"Halifax, Nova Scotia",Females,2016.0,,,
249,0 to 24 years,$175-<200k,"Halifax, Nova Scotia",Females,2016.0,,,
250,0 to 24 years,$200-225k,"Halifax, Nova Scotia",Females,2016.0,,,
251,0 to 24 years,225-250k,"Halifax, Nova Scotia",Females,2016.0,,,
252,0 to 24 years,>250k,"Halifax, Nova Scotia",Females,2016.0,0.0,,
253,25 to 34 years,$0-<25k,"Halifax, Nova Scotia",Females,2016.0,9910.0,,
254,25 to 34 years,$25-<50k,"Halifax, Nova Scotia",Females,2016.0,11060.0,,
255,25 to 34 years,$50-<75k,"Halifax, Nova Scotia",Females,2016.0,4620.0,,
256,25 to 34 years,$75-<100k,"Halifax, Nova Scotia",Females,2016.0,1540.0,,
257,25 to 34 years,$100-<125k,"Halifax, Nova Scotia",Females,2016.0,145.0,,
258,25 to 34 years,$125-<150k,"Halifax, Nova Scotia",Females,2016.0,145.0,,
259,25 to 34 years,$150-<175k,"Halifax, Nova Scotia",Females,2016.0,25.0,,
260,25 to 34 years,$175-<200k,"Halifax, Nova Scotia",Females,2016.0,25.0,,
261,25 to 34 years,$200-225k,"Halifax, Nova Scotia",Females,2016.0,,,
